HUGO_GENE_SYMBOL,ENTREZ_GENE_ID
A1CF,29974
ABI1,10006
ABL1,25
ABL2,27
ACKR3,57007
ACSL3,2181
ACSL6,23305
ACVR1,90
ACVR1B,91
ACVR2A,92
AFDN,4301
AFF1,4299
AFF3,3899
AFF4,27125
AKAP9,10142
AKT1,207
AKT2,208
AKT3,10000
ALDH2,217
ALK,238
AMER1,139285
ANK1,286
APC,324
APOBEC3B,9582
AR,367
ARAF,369
ARHGAP26,23092
ARHGAP35,2909
ARHGAP5,394
ARHGEF10,9639
ARHGEF10L,55160
ARHGEF12,23365
ARID1A,8289
ARID1B,57492
ARID2,196528
ARNT,405
ASPM,259266
ASPSCR1,79058
ASXL1,171023
ASXL2,55252
ATF1,466
ATIC,471
ATM,472
ATP1A1,476
ATP2B3,492
ATR,545
ATRX,546
AXIN1,8312
AXIN2,8313
B2M,567
BAP1,8314
BARD1,580
BAX,581
BAZ1A,11177
BCL10,8915
BCL11A,53335
BCL11B,64919
BCL2,596
BCL2L12,83596
BCL3,602
BCL6,604
BCL7A,605
BCL9,607
BCL9L,283149
BCLAF1,9774
BCOR,54880
BCORL1,63035
BCR,613
BIRC3,330
BIRC6,57448
BLM,641
BMP5,653
BMPR1A,657
BRAF,673
BRCA1,672
BRCA2,675
BRD3,8019
BRD4,23476
BRIP1,83990
BTG1,694
BTG2,7832
BTK,695
BUB1B,701
C15orf65,145788
CACNA1D,776
CALR,811
CAMTA1,23261
CANT1,124583
CARD11,84433
CARS,833
CASP3,836
CASP8,841
CASP9,842
CBFA2T3,863
CBFB,865
CBL,867
CBLB,868
CBLC,23624
CCDC6,8030
CCNB1IP1,57820
CCNC,892
CCND1,595
CCND2,894
CCND3,896
CCNE1,898
CCR4,1233
CCR7,1236
CD209,30835
CD274,29126
CD28,940
CD74,972
CD79A,973
CD79B,974
CDC73,79577
CDH1,999
CDH10,1008
CDH11,1009
CDH17,1015
CDK12,51755
CDK4,1019
CDK6,1021
CDKN1A,1026
CDKN1B,1027
CDKN2A,1029
CDKN2C,1031
CDX2,1045
CEBPA,1050
CEP89,84902
CHCHD7,79145
CHD2,1106
CHD4,1108
CHEK2,11200
CHIC2,26511
CHST11,50515
CIC,23152
CIITA,4261
CLIP1,6249
CLP1,10978
CLTC,1213
CLTCL1,8218
CNBD1,168975
CNBP,7555
CNOT3,4849
CNTNAP2,26047
CNTRL,11064
COL1A1,1277
COL2A1,1280
COL3A1,1281
COX6C,1345
CPEB3,22849
CREB1,1385
CREB3L1,90993
CREB3L2,64764
CREBBP,1387
CRLF2,64109
CRNKL1,51340
CRTC1,23373
CRTC3,64784
CSF1R,1436
CSF3R,1441
CSMD3,114788
CTCF,10664
CTNNA1,1495
CTNNA2,1496
CTNNB1,1499
CTNND1,1500
CTNND2,1501
CUL3,8452
CUX1,1523
CXCR4,7852
CYLD,1540
CYP2C8,1558
CYSLTR2,57105
DAXX,1616
DCAF12L2,340578
DCC,1630
DCTN1,1639
DDB2,1643
DDIT3,1649
DDR2,4921
DDX10,1662
DDX3X,1654
DDX5,1655
DDX6,1656
DEK,7913
DGCR8,54487
DICER1,23405
DNAJB1,3337
DNM2,1785
DNMT3A,1788
DROSHA,29102
EBF1,1879
ECT2L,345930
EED,8726
EGFR,1956
EIF1AX,107984923
EIF3E,3646
EIF4A2,1974
ELF3,1999
ELF4,2000
ELK4,2005
ELL,8178
ELN,2006
EML4,27436
EP300,2033
EPAS1,2034
EPHA3,2042
EPHA7,2045
EPS15,2060
ERBB2,2064
ERBB3,2065
ERBB4,2066
ERC1,23085
ERCC2,2068
ERCC3,2071
ERCC4,2072
ERCC5,2073
ERG,2078
ESR1,2099
ETNK1,55500
ETV1,2115
ETV4,2118
ETV5,2119
ETV6,2120
EWSR1,2130
EXT1,2131
EXT2,2132
EZH2,2146
EZR,7430
FADD,8772
FAM131B,9715
FAM135B,51059
FAM47C,442444
FANCA,2175
FANCC,2176
FANCD2,2177
FANCE,2178
FANCF,2188
FANCG,2189
FAS,355
FAT1,2195
FAT3,120114
FAT4,79633
FBLN2,2199
FBXO11,80204
FBXW7,55294
FCGR2B,2213
FCRL4,83417
FEN1,2237
FES,2242
FEV,54738
FGFR1,2260
FGFR1OP,11116
FGFR2,2263
FGFR3,2261
FGFR4,2264
FH,2271
FHIT,2272
FIP1L1,81608
FKBP9,11328
FLCN,201163
FLI1,2313
FLNA,2316
FLT3,2322
FLT4,2324
FNBP1,23048
FOXA1,3169
FOXL2,668
FOXO1,2308
FOXO3,2309
FOXO4,4303
FOXP1,27086
FOXR1,283150
FSTL3,10272
FUBP1,8880
FUS,2521
GAS7,8522
GATA1,2623
GATA2,2624
GATA3,2625
GLI1,2735
GMPS,8833
GNA11,2767
GNAQ,2776
GNAS,2778
GOLGA5,9950
GOLPH3,64083
GOPC,57120
GPC3,2719
GPC5,2262
GPHN,10243
GRIN2A,2903
GRM3,2913
GSK3B,2932
H3F3A,3020
H3F3B,3021
HERPUD1,9709
HEY1,23462
HGF,3082
HIF1A,3091
HIP1,3092
HIST1H3B,8358
HIST1H4I,8294
HLA-A,3105
HLF,3131
HMGA1,3159
HMGA2,8091
HMGN2P46,
HNF1A,6927
HNRNPA2B1,3181
HOOK3,84376
HOXA11,3207
HOXA13,3209
HOXA9,3205
HOXC11,3227
HOXC13,3229
HOXD11,3237
HOXD13,3239
HRAS,3265
HSP90AA1,3320
HSP90AB1,3326
ID3,3399
IDH1,3417
IDH2,3418
IGF2BP2,10644
IGH,3492
IGK,50802
IGL,3535
IKBKB,3551
IKZF1,10320
IKZF3,22806
IL2,3558
IL21R,50615
IL6ST,3572
IL7R,3575
IRF4,3662
IRS4,8471
ISX,91464
ITGAV,3685
ITK,3702
JAK1,3716
JAK2,3717
JAK3,3718
JAZF1,221895
JUN,3725
KAT6A,7994
KAT6B,23522
KAT7,11143
KCNJ5,3762
KDM5A,5927
KDM5C,8242
KDM6A,7403
KDR,3791
KDSR,2531
KEAP1,9817
KIAA1549,57670
KIF5B,3799
KIT,3815
KLF4,9314
KLF6,1316
KLK2,3817
KMT2A,4297
KMT2C,58508
KMT2D,8085
KNL1,57082
KNSTRN,90417
KRAS,3845
KTN1,3895
LARP4B,23185
LASP1,3927
LATS1,9113
LATS2,26524
LCK,3932
LCP1,3936
LEF1,51176
LEPROTL1,23484
LHFPL6,10186
LIFR,3977
LMNA,4000
LMO1,4004
LMO2,4005
LPP,4026
LRIG3,121227
LRP1B,53353
LSM14A,26065
LYL1,4066
LYN,4067
LZTR1,8216
MACC1,346389
MAF,4094
MAFB,9935
MALAT1,
MALT1,10892
MAML2,84441
MAP2K1,5604
MAP2K2,5605
MAP2K4,6416
MAP3K1,4214
MAP3K13,9175
MAPK1,5594
MAX,4149
MB21D2,151963
MDM2,4193
MDM4,4194
MDS2,
MECOM,2122
MED12,9968
MEN1,4221
MET,4233
MGMT,4255
MITF,4286
MLF1,4291
MLH1,4292
MLLT1,4298
MLLT10,8028
MLLT11,10962
MLLT3,4300
MLLT6,4302
MN1,4330
MNX1,3110
MPL,4352
MRTFA,57591
MSH2,4436
MSH6,2956
MSI2,124540
MSN,4478
MTCP1,4515
MTOR,2475
MUC1,4582
